Agrigento;A089
Alessandria;A182
Ancona;A271
Aosta;A326
L'Aquila;A3245
Arezzo;A390
Ascoli Piceno;A462
Asti;A479
Avellino;A509
Bari;A662
Barletta Andria Trani;A669
Belluno;A757
Benevento;A783
Bergamo;A794
Biella;A859
Bologna;A944
Bolzano;A952
Brescia;B157
Brindisi;B180
Cagliari;B354
Caltanissetta;B429
Campobasso;B519
Caserta;B963
Catania;C351
Catanzaro;C352
Chieti;C632
Como;C933
Cosenza;D086
Cremona;D150
Crotone;D122
Cuneo;D205
Enna;C342
Fermo;D542
Ferrara;D548
Firenze;D612
Foggia;D643
Forlì;D704
Frosinone;D810
Genova;D969
Gorizia;E098
Grosseto;E202
Imperia;E290
Isernia;E335
La Spezia;E463
Latina;E472
Lecce;E506
Lecco;E507
Livorno;E652
Lodi;E648
Lucca;E715
Macerata;E783
Mantova;E897
Massa;F023
Matera;F052
Messina;F158
Milano;F205
Modena;F257
Monza;F704
Napoli;F839
Novara;F952
Nuoro;F979
Oristano;G113
Padova;G224
Palermo;G273
Parma;G337
Pavia;G388
Perugia;G478
Pesaro;G479
Pescara;G482
Piacenza;G535
Pisa;G702
Pistoia;G713
Pordenone;G888
Potenza;G942
Prato;G999
Ragusa;H163
Ravenna;H199
Reggio Calabria;H224
Reggio Emilia;H223
Rieti;H282
Rimini;H294
Roma;H501
Rovigo;H620
Salerno;H703
Sassari;I452
Savona;I480
Siena;I726
Siracusa;I754
Sondrio;I829
Taranto;L049
Teramo;L103
Terni;L117
Torino;L219
Trapani;L331
Trento;L378
Treviso;L407
Trieste;L424
Varese;L682
Venezia;L736
Verbania;L746
Vercelli;L750
Verona;L781
Vibo Valentina;F537
Vicenza;L840
Viterbo;M082
